                                   Rank 3 fitness=-10	weights=[1.333, 0, 0, -4.742, 0, -2.395, 0, -1, -1.814, -1, 0]	 game_history=[-26, 16]
                                   Rank 4 fitness=-16	weights=[1.333, 0, 0, -4.742, 0, -1.219, 0, 0.688, 0, 1, 0]	 game_history=[-30, 14]
2020-03-13 18:26:00.027146 - G24:  Rank 0 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 1 fitness=2	weights=[3.27, 0, 0, -4.742, 0, -1.18, 0, 0.688, 0, 1, 0]	 game_history=[-10, 12]
                                   Rank 2 fitness=-2	weights=[1.333, 0, 0, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
                                   Rank 3 fitness=-2	weights=[1.333, 0, 0.288, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
                                   Rank 4 fitness=-10	weights=[1.333, 0, 0, -4.742, 0, -2.395, 0, -1, -1.814, -1, 0]	 game_history=[-26, 16]
2020-03-13 18:26:09.785419 - G25:  Rank 0 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 1 fitness=-2	weights=[1.333, 0, 0, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
                                   Rank 2 fitness=-2	weights=[1.333, 0, 0.288, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
                                   Rank 3 fitness=-10	weights=[1.333, 0, 0, -4.742, 0, -2.395, 0, -1, -1.814, -1, 0]	 game_history=[-26, 16]
                                   Rank 4 fitness=-14	weights=[1.333, 0, 0.288, -4.742, 0, 0, 0, 0.688, 0, 0.254, 0]	 game_history=[-30, 16]
2020-03-13 18:26:20.295302 - G26:  Rank 0 fitness=0	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-26, 26]
                                   Rank 1 fitness=-2	weights=[1.333, 0, 0.288, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
                                   Rank 2 fitness=-2	weights=[1.333, 0, -1.179, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
                                   Rank 3 fitness=-10	weights=[1.333, 0, 0, -4.742, 0, -2.395, 0, -1, -1.814, -1, 0]	 game_history=[-26, 16]
                                   Rank 4 fitness=-14	weights=[1.333, 0, 0.288, -4.742, 0, 0, 0, 0.688, 0, 0.254, 0]	 game_history=[-30, 16]
2020-03-13 18:26:30.489986 - G27:  Rank 0 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 1 fitness=4	weights=[2.316, -2.431, -1.179, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 14]
                                   Rank 2 fitness=0	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-26, 26]
                                   Rank 3 fitness=-2	weights=[1.333, 0, -1.179, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
                                   Rank 4 fitness=-10	weights=[1.333, 0, 0, -4.742, 0, -2.395, 0, -1, -1.814, -1, 0]	 game_history=[-26, 16]
2020-03-13 18:26:41.636463 - G28:  Rank 0 fitness=38	weights=[1.333, 0, 0, -4.742, 0, -4.049, 0, -1, -1.814, -1, 0]	 game_history=[6, 32]
                                   Rank 1 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 2 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 3 fitness=4	weights=[2.316, -2.431, -1.179, -4.742, 0, 1.279, 0, 0.688, 0, 1, 0]	 game_history=[-10, 14]
                                   Rank 4 fitness=2	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, 1.2, 0]	 game_history=[-14, 16]
2020-03-13 18:26:52.930301 - G29:  Rank 0 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 1 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 2 fitness=6	weights=[2.316, 0, 0, -6.102, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 3 fitness=2	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, 1.2, 0]	 game_history=[-14, 16]
                                   Rank 4 fitness=-14	weights=[2.316, 0, 0, -7.118, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-30, 16]
2020-03-13 18:27:05.247339 - G30:  Rank 0 fitness=6	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 1 fitness=6	weights=[2.316, 0, 0, -6.102, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 2 fitness=2	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, 1.2, 0]	 game_history=[-14, 16]
                                   Rank 3 fitness=2	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, 0.349, 0]	 game_history=[-14, 16]
                                   Rank 4 fitness=0	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-26, 26]
2020-03-13 18:27:16.205100 - G31:  Rank 0 fitness=6	weights=[2.316, 0, 0, -6.102, 0, -2.395, 0, -0.688, -1.814, -1, 0]	 game_history=[-20, 26]
                                   Rank 1 fitness=2	weights=[2.316, 0, 0, -4.742, 0, -2.395, 0, -0.688, -1.814, 1.2, 0]	 game_history=[-14, 16]
