                                   Rank 1 fitness=0	weights=[-4.33, -0.951, 4.299, 1.598, -1.615, -0.464, 3.067, -1.613, -0.104, -1.628, -1.397, 0.616, 2.626, 0.684, -7.795, 3.297, 1.049, -4.689, -1.371]	 game_history=[1, -1]
                                   Rank 2 fitness=-14	weights=[5.817, -1.943, 2.793, 3.634, -1.731, 3.171, -0.102, -2.64, -4.875, 5.987, -3.122, -0.163, 0.969, 1.554, -4.512, 5.784, 3.081, -5.304, 1.661]	 game_history=[-16, 2]
                                   Rank 3 fitness=-19	weights=[5.781, 1.943, -2.873, 3.634, -2.507, -3.171, -0.102, -1.756, -2.778, 3.635, 3.122, 0.163, 0.969, 1.554, -4.512, -5.784, -5.005, 3.015, 1.014]	 game_history=[-19, 0]
                                   Rank 4 fitness=-24	weights=[-0.244, -3.569, 0.321, -2.168, 0.716, -1.024, 2.953, -2.88, -2.832, 1.496, -2.619, 3.356, -1.96, -2.301, -2.889, -1.658, -1.905, 2.501, -1.354]	 game_history=[-14, -10]
2020-03-07 01:17:24.924031 - G16:  Rank 0 fitness=26	weights=[2.441, -0.951, 4.299, 1.598, 1.907, -0.464, -4.668, -2.33, -0.504, -1.628, 0.979, 0.616, 2.626, -0.684, -7.795, 3.297, 0.588, -4.689, -1.371]	 game_history=[31, -5]
                                   Rank 1 fitness=6	weights=[3.117, -0.951, 0.54, 0.4, 1.699, 1.842, -2.836, 1.613, 1.223, 5.159, 3.343, -2.438, 3.129, -0.193, 7.062, -2.315, 1.427, -8.211, -1.094]	 game_history=[2, 4]
                                   Rank 2 fitness=1	weights=[8.152, 1.46, 2.793, 3.634, -1.731, 3.171, 0.102, -2.64, 4.27, -5.987, -4.747, -0.163, 0.969, -0.169, -4.512, 8.172, -1.585, -5.304, -1.661]	 game_history=[-7, 8]
                                   Rank 3 fitness=-20	weights=[3.117, -0.951, 3.567, 1.598, 1.615, 0.145, -3.067, 3.003, -1.223, -1.628, 0.118, -0.616, 0.934, 0.193, 7.062, 3.271, -0.762, -4.689, -1.371]	 game_history=[-26, 6]
                                   Rank 4 fitness=-22	weights=[-0.244, -4.479, 1.425, 1.993, -5.187, -1.024, 2.953, -5.204, 1.907, -1.496, -2.619, -3.356, 1.54, -2.483, -2.889, 1.658, -1.905, 2.501, 1.354]	 game_history=[-12, -10]
2020-03-07 01:17:37.590883 - G17:  Rank 0 fitness=19	weights=[0.244, 4.479, 0.378, 1.993, -5.373, -2.541, 5.361, -5.204, 3.487, -1.496, -1.843, 3.356, -1.54, -2.483, -2.889, 1.658, -4.191, -0.125, -1.354]	 game_history=[-1, 20]
                                   Rank 1 fitness=8	weights=[3.117, 0.951, -0.078, -4.38, -3.834, -0.145, -3.067, -3.003, -0.095, -2.025, 0.248, -0.616, -0.934, 0.193, 7.062, 2.242, 0.762, 4.689, -1.371]	 game_history=[-22, 30]
                                   Rank 2 fitness=0	weights=[8.152, 1.46, 2.793, 3.634, -1.731, 3.171, 0.102, -2.64, 4.27, -5.987, -4.747, -0.163, 0.969, -0.169, -4.512, 8.172, -1.585, -5.304, -1.661]	 game_history=[-19, 19]
                                   Rank 3 fitness=-7	weights=[3.117, -0.951, 0.54, 0.4, 1.699, 1.842, -2.836, 1.613, 1.223, 5.159, 3.343, -2.438, 3.129, -0.193, 7.062, -2.315, 1.427, -8.211, -1.094]	 game_history=[-15, 8]
