                                   Rank 2 fitness=26	weights=[1, -1, -2.361, 0, -1.458, 0.395, -2.209, 0, -1.645, 0, 0]	 game_history=[24, 2]
                                   Rank 3 fitness=24	weights=[1, 0.157, -2.361, 0, -0.618, -0.713, -2.766, 0, -1.009, 0, 0]	 game_history=[10, 14]
                                   Rank 4 fitness=22	weights=[1, -1, -2.361, 0, -1.458, 0.395, -2.975, 0, -1.645, 0, 0]	 game_history=[12, 10]
2020-03-14 01:27:16.384354 - G30:  Rank 0 fitness=54	weights=[1, -1, -2.361, 0.218, 1.458, 0.395, -2.209, 0, -1.645, 0, 0]	 game_history=[26, 28]
                                   Rank 1 fitness=36	weights=[1, 0.157, -2.361, 0, -0.618, -0.713, -2.766, 0, -1.009, 0, 0]	 game_history=[32, 4]
                                   Rank 2 fitness=30	weights=[1, -1, -2.361, 0.218, 1.458, 0.395, -2.209, 0, -1.645, 0, 0]	 game_history=[20, 10]
                                   Rank 3 fitness=26	weights=[1, 0.141, -2.361, 0.218, -1.458, 0.395, -2.209, 1.014, 1.645, 0, 0]	 game_history=[10, 16]
                                   Rank 4 fitness=22	weights=[1, -1, -2.361, 0.218, -1.458, 0.395, -2.975, 0, -1.645, 0, 0]	 game_history=[10, 12]
2020-03-14 01:27:30.978182 - G31:  Rank 0 fitness=40	weights=[1, -1, -2.361, 0.218, 1.458, 0.395, -2.209, 0, -1.645, 0, 0]	 game_history=[18, 22]
                                   Rank 1 fitness=36	weights=[1, 0.157, -2.361, 0, -0.618, -0.713, -2.766, 0, -1.009, 0, 0]	 game_history=[14, 22]
                                   Rank 2 fitness=36	weights=[1, -1, -2.361, 0.218, 1.458, -2.882, -2.209, 0, -1.645, 0, 0]	 game_history=[24, 12]
                                   Rank 3 fitness=32	weights=[1, -1, -2.361, 0.218, 1.458, 0.395, -2.209, 0, -1.645, 0, 0]	 game_history=[12, 20]
                                   Rank 4 fitness=32	weights=[1, -1, -2.361, 0.218, -1.458, 0.395, -3.849, 0, 1.645, 0, 0]	 game_history=[-2, 34]
2020-03-14 01:27:43.793859 - G32:  Rank 0 fitness=48	weights=[1, -1, -2.361, 0.218, 1.458, 0.395, -2.209, 0, -1.645, 0, 0]	 game_history=[26, 22]
